brand;model;car_model;price_chf;mileage;engine_power_hp;power_mode;production_date;consumption_l_per_100km;transmission;listing_url
Mercedes-Benz;GLC 200;MERCEDES-BENZ GLC 200 4Matic 9G-Tronic;80800.0;100.0;204.0;Benzin;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-glc-200-4matic-9g-tronic-12852530
BMW;X1;BMW X1 xDrive 20d xLine Steptronic;25900.0;73399.0;190.0;Diesel;62.020;;Automat;https://www.autoscout24.ch/de/d/bmw-x1-xdrive-20d-xline-steptronic-12848057
Citroen;e;CITROEN e-C5 Aircross Plus;46250.0;30.0;213.0;Elektro;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/citroen-e-c5-aircross-plus-12842177
Citroen;e;CITROEN e-C3 Van;18880.0;300.0;113.0;Elektro;82.025;;Automat;https://www.autoscout24.ch/de/d/citroen-e-c3-van-12842169
Citroen;C3 1.2;CITROEN C3 1.2 Turbo You;16340.0;30.0;100.0;Benzin;Neues Fahrzeug;6.1;Manuell;https://www.autoscout24.ch/de/d/citroen-c3-12-turbo-you-12842167
Mini;MINI;MINI MINI Cooper SE;19900.0;27700.0;184.0;Elektro;102.021;;Halbautomatik;https://www.autoscout24.ch/de/d/mini-mini-cooper-se-12857252
Peugeot;PEUGEOT;PEUGEOT PEUGEOT Partner 1.6 Blue HDi s/s Asphalt 1000kg;15990.0;150000.0;100.0;Diesel;12.020;4.3;Manuell;https://www.autoscout24.ch/de/d/peugeot-peugeot-partner-16-blue-hdi-s-s-asphalt-1000kg-12852356
Audi;A6;AUDI A6 Avant 3.0 BiTDI V6 quattro tiptronic;24990.0;115200.0;313.0;Diesel;102.014;6.3;Automat;https://www.autoscout24.ch/de/d/audi-a6-avant-30-bitdi-v6-quattro-tiptronic-12852293
Audi;A3;AUDI A3 SPORTBACK FACELIFT 40 TFSI e *** 120 KM REICHWEITE ***;35900.0;1500.0;150.0;Benzin;62.025;;Automat;https://www.autoscout24.ch/de/d/audi-a3-sportback-facelift-40-tfsi-e-120-km-reichweite-12852019
Mini;Countryman;MINI Countryman F60 2.0i Cooper S ALL4;29400.0;51160.0;178.0;Benzin;62.021;7.3;Automat;https://www.autoscout24.ch/de/d/mini-countryman-f60-20i-cooper-s-all4-12851226
BMW;iX3;BMW iX3 E-Motor;31500.0;31600.0;286.0;Elektro;122.021;;Halbautomatik;https://www.autoscout24.ch/de/d/bmw-ix3-e-motor-12844192
LAMBORGHINI;Urus;LAMBORGHINI Urus E-Gear;229990.0;56000.0;650.0;Benzin;22.020;12.6;Halbautomatik;https://www.autoscout24.ch/de/d/lamborghini-urus-e-gear-12860880
Audi;Q3;AUDI Q3 SUV TFSI quattro 195 kW S tronic;75900.0;3000.0;266.0;Benzin;102.025;8.9;Automat;https://www.autoscout24.ch/de/d/audi-q3-suv-tfsi-quattro-195-kw-s-tronic-12841616
BYD;TANG;BYD TANG Flagship 7Pl. 4x4;53800.0;10.0;517.0;Elektro;Neues Fahrzeug;;Stufenlos;https://www.autoscout24.ch/de/d/byd-tang-flagship-7pl-4x4-12854753
Volvo;C40;VOLVO C40 Recharge P6 Pure Electric Ultimate ** VOLLAUSSTATTUNG - BATTERIEZERTIFIKAT -GLASDACH -ASSIS. PAKET -GARANTIE BIS 09.2030**;24890.0;113000.0;231.0;Elektro;92.022;;Automat;https://www.autoscout24.ch/de/d/volvo-c40-recharge-p6-pure-electric-ultimate-vollausstattung-batteriezertifikat-glasdach-assis-paket-garantie-bis-092030-12849868
BMW;M2;BMW M2 Competition Drivelogic ** PERL WEISS FARBE - STERNEN HIMMEL - TIEFER LEGUNG - HECKDIFFUSOR + SPOILER CARBON - AB SERVICE **;36890.0;142000.0;410.0;Benzin;32.019;9.8;Halbautomatik;https://www.autoscout24.ch/de/d/bmw-m2-competition-drivelogic-perl-weiss-farbe-sternen-himmel-tiefer-legung-heckdiffusor-spoiler-carbon-ab-service-12849844
